4.2991 	WARNING 	Speech-to-text recognition module for PocketSphinx is not available (use command `pip install SpeechRecognition` to get it). Transcription will be unavailable using that service this session.
4.3017 	WARNING 	Speech-to-text recognition using Google online services is not available (use command `pip install google-api-core google-auth google-cloud google-cloud-speech googleapis-common-protos` to get it). Transcription will be unavailable using that service this session.
4.3072 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
25.9892 	WARNING 	User requested fullscreen with size [1920 1280], but screen is actually [1920, 1080]. Using actual size
27.0305 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023E347F8FA0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023E347F9000>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023E347F9300>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023E35A48F70>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
27.0307 	EXP 	window1: mouseVisible = True
27.0308 	EXP 	window1: backgroundImage = None
27.0308 	EXP 	window1: backgroundFit = 'cover'
27.0309 	EXP 	window1: mouseVisible = True
27.0309 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
27.0310 	EXP 	window1: recordFrameIntervals = False
27.1951 	EXP 	window1: recordFrameIntervals = True
27.3789 	EXP 	Screen (0) actual frame rate measured at 59.97Hz
27.3790 	EXP 	window1: recordFrameIntervals = False
33.2203 	EXP 	Created welcome_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='welcome_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Welcome!\n', units='height', win=Window(...), wrapWidth=1)
